web_browser,operating_sys,from_url,to_url,city,longitude,latitude,timezone,time_in,time_out
Mozilla,Windows,www.facebook.com,www.ncbi.nlm.nih.gov,Danvers,42.576698,-70.954903,America/New_York,1970-01-01 00:00:01.331923247,1970-01-01 00:00:01.331822918
Mozilla,Windows,t.co,boxer.senate.gov,Washington,38.9007,-77.043098,America/New_York,1970-01-01 00:00:01.331923250,1970-01-01 00:00:01.331919941
Mozilla,Macintosh,direct,apod.nasa.gov,Braz,-23.549999,-46.616699,America/Sao_Paulo,1970-01-01 00:00:01.331923249,1970-01-01 00:00:01.331923068
Mozilla,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,1970-01-01 00:00:01.331923251,1970-01-01 00:00:01.273672411
Mozilla,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,1970-01-01 00:00:01.331923252,1970-01-01 00:00:01.273672506
Mozilla,Windows,plus.url.google.com,www.nasa.gov,Luban,51.116699,15.2833,Europe/Warsaw,1970-01-01 00:00:01.331923255,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,www.nysdot.gov,Seattle,47.5951,-122.332603,America/Los_Angeles,1970-01-01 00:00:01.331923258,1970-01-01 00:00:01.319563556
Mozilla,Macintosh,t.co,oversight.house.gov,Washington,38.937599,-77.092796,America/New_York,1970-01-01 00:00:01.331923259,1970-01-01 00:00:01.331815838
Mozilla,Windows,direct,www.nysdot.gov,Alexandria,38.790901,-77.094704,America/New_York,1970-01-01 00:00:01.331923259,1970-01-01 00:00:01.319563556
Mozilla,Windows,direct,toxtown.nlm.nih.gov,Marietta,33.953201,-84.5177,America/New_York,1970-01-01 00:00:01.331923262,1970-01-01 00:00:01.255769846
Mozilla,Windows,forum2.hkgolden.com,www.ssd.noaa.gov,Central District,22.2833,114.150002,Asia/Hong_Kong,1970-01-01 00:00:01.331923263,1970-01-01 00:00:01.317318030
Mozilla,Windows,forum2.hkgolden.com,www.usno.navy.mil,Central District,22.2833,114.150002,Asia/Hong_Kong,1970-01-01 00:00:01.331923263,1970-01-01 00:00:01.317318039
Mozilla,Macintosh,t.co,www.usda.gov,Buckfield,44.299702,-70.369797,America/New_York,1970-01-01 00:00:01.331923264,1970-01-01 00:00:01.331839576
Mozilla,Windows,www.facebook.com,www.nasa.gov,Venice,45.438599,12.3267,Europe/Rome,1970-01-01 00:00:01.331923264,1970-01-01 00:00:01.331922854
Mozilla,Windows,www.facebook.com,voyager.jpl.nasa.gov,Alcal,37.516701,-5.9833,Africa/Ceuta,1970-01-01 00:00:01.331923265,1970-01-01 00:00:01.331670549
Mozilla,Macintosh,www.facebook.com,www.nasa.gov,Davidsonville,38.939201,-76.635002,America/New_York,1970-01-01 00:00:01.331923267,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,portal.hud.gov,Hockessin,39.785,-75.682297,America/New_York,1970-01-01 00:00:01.331923267,1970-01-01 00:00:01.331064158
Mozilla,Macintosh,www.facebook.com,www.tricare.mil,Lititz,40.174999,-76.3078,America/New_York,1970-01-01 00:00:01.331923267,1970-01-01 00:00:01.330217829
Mozilla,Windows,www.facebook.com,www.nasa.gov,Bilbao,43.25,-2.9667,Europe/Madrid,1970-01-01 00:00:01.331923268,1970-01-01 00:00:01.331922854
Mozilla,Windows,www.facebook.com,www.nasa.gov,Kuala Lumpur,3.1667,101.699997,Asia/Kuala_Lumpur,1970-01-01 00:00:01.331923269,1970-01-01 00:00:01.331922854
Mozilla,Windows,www.facebook.com,www.nasa.gov,Nicosia,35.166698,33.366699,Asia/Nicosia,1970-01-01 00:00:01.331923268,1970-01-01 00:00:01.331922854
Mozilla,Macintosh,direct,apod.nasa.gov,SPaulo,-23.5333,-46.616699,America/Sao_Paulo,1970-01-01 00:00:01.331923269,1970-01-01 00:00:01.331923068
Mozilla,Windows,plus.url.google.com,www.nasa.gov,Huddersfield,53.650002,-1.7833,Europe/London,1970-01-01 00:00:01.331923271,1970-01-01 00:00:01.331922854
